InfraredT,H,RollAngle,PitchingAngle,HeadingAngle,GPS,LowSpeed,A_10,A_10_2,A_30,A_30_2,A_30_10,A_30_MAX,A_80,A_80_2,A_80_10,A_100,A_100_2,A_100_10,A_1_2_T,A_30_T,A_80_T,A_100_T,A_10_T,A_1_5_H,A_30_H,A_80_H,A_100_H
24.6,599.97,0.825059,-1.037054,120.344055,120.710748,26.773,2.4,2.5,2.8,3,2.8,2.8,3.7,3.8,3.7,4,3.9,3.8,24.2,24.1,23.6,23.5,24.1,88,86,87,97
24.9,599.97,0.825059,-1.037054,120.344055,120.710748,26.773,2.2,2.3,2.8,2.9,2.8,2.8,4.2,3.9,3.7,4.2,4.1,3.8,24.2,24.1,23.5,23.3,24.1,88,86,87,96
24.6,600.1,-0.206265,-1.587093,121.9025,122.097306,26.476,2.9,2.6,3.1,3,2.9,2.9,4,4,3.8,4.1,4.1,3.9,24.2,24.1,23.5,23.4,24.1,88,86,86,95
24.9,600.1,-0.206265,-1.587093,121.9025,122.097306,26.476,2.4,2.4,3.1,3.1,2.9,2.9,4.3,4,3.8,4.3,4.2,3.9,24.2,24.1,23.6,23.5,24.1,88,86,86,95
24.6,600.1,-0.206265,-1.587093,121.9025,122.097306,26.476,2.4,2.5,2.8,3,2.9,2.9,4,4.1,3.9,4.3,4.2,4,24.2,24.1,23.6,23.6,24.1,88,86,86,96
24.9,599.8,1.403747,-1.174563,122.211898,122.171791,26.417,2.5,2.5,3.4,3.1,3,3,4,4.1,3.9,4.5,4.4,4.1,24.2,24.1,23.6,23.4,24.1,88,86,86,96
24.7,599.8,1.403747,-1.174563,122.211898,122.171791,26.417,2.8,2.6,3.4,3.2,3,3,4.4,4.2,4,4.3,4.3,4.1,24.2,24.1,23.5,23.5,24.1,88,86,86,95
24.8,599.8,1.403747,-1.174563,122.211898,122.171791,26.417,3.4,2.8,3.7,3.4,3.1,3.1,4.5,4.2,4,4.3,4.4,4.2,24.2,24,23.6,23.5,24.1,88,86,86,95
24.7,600.05,1.707414,-1.317803,121.873853,121.667588,26.04,3.2,2.9,3.9,3.6,3.2,3.2,4.4,4.2,4.1,4.7,4.5,4.2,24.2,24,23.6,23.5,24.1,88,86,86,95
24.8,600.05,1.707414,-1.317803,121.873853,121.667588,26.04,2.6,2.9,3.3,3.6,3.3,3.3,4.7,4.5,4.2,4.9,4.7,4.3,24.1,24,23.6,23.5,24.1,88,86,86,94
24.7,600.05,1.707414,-1.317803,121.873853,121.667588,26.04,2.9,3,3.8,3.7,3.4,3.4,4.4,4.5,4.2,4.6,4.7,4.4,24.1,24,23.6,23.6,24.1,88,86,85,94
24.8,599.94,2.400693,-1.512609,120.985768,121.318084,26.404,2.5,2.9,2.9,3.5,3.4,3.4,4.5,4.5,4.3,4.4,4.5,4.4,24.1,24.1,23.7,23.6,24.1,88,86,86,95
24.6,599.94,2.400693,-1.512609,120.985768,121.318084,26.404,3.1,2.7,3.6,3.3,3.3,3.4,4.6,4.6,4.3,4.9,4.6,4.4,24.1,24.1,23.7,23.6,24.1,88,86,86,95
24.8,599.94,2.400693,-1.512609,120.985768,121.318084,26.404,3.2,3.1,3.7,3.7,3.4,3.4,4.5,4.6,4.4,4.8,4.7,4.5,24.1,24.1,23.6,23.5,24.1,88,86,86,95
24.6,599.94,2.400693,-1.512609,120.985768,121.318084,26.404,3,2.9,3.4,3.5,3.4,3.5,4.9,4.7,4.4,5,4.8,4.6,24.1,24.1,23.6,23.5,24.1,88,86,86,95
24.9,600.02,1.180293,-1.810547,121.300895,121.63894,26.308,2.7,3,3.5,3.5,3.5,3.5,4.8,4.7,4.5,5,4.9,4.6,24.1,24.1,23.6,23.5,24.1,88,86,85,94
24.7,600.02,1.180293,-1.810547,121.300895,121.63894,26.308,3,2.9,4,3.7,3.5,3.5,4.7,4.7,4.5,4.6,4.8,4.7,24.1,24.1,23.6,23.6,24.1,88,86,85,94
24.9,600.02,1.180293,-1.810547,121.300895,121.63894,26.308,3,2.8,3,3.5,3.5,3.6,4.5,4.7,4.6,4.6,4.7,4.7,24.1,24.1,23.7,23.6,24.1,88,86,86,96
24.7,599.88,1.08289,-1.35218,119.971633,121.008686,26.574,2.8,3,3.4,3.7,3.6,3.6,4.2,4.5,4.5,4.6,4.7,4.7,24.1,24.1,23.6,23.5,24.1,88,86,86,96
25.6,599.88,1.08289,-1.35218,119.971633,121.008686,26.574,2.2,2.7,3,3.4,3.5,3.6,4.1,4.4,4.5,4.5,4.6,4.6,24.1,24.1,23.6,23.5,24.1,88,86,86,95
24.9,599.88,1.08289,-1.35218,119.971633,121.008686,26.574,2.6,2.6,3.4,3.3,3.5,3.6,3.9,4.2,4.4,4.2,4.3,4.6,24.1,24.1,23.6,23.5,24.1,88,86,86,95
24.6,600.12,-1.885031,-1.690225,119.879959,120.842529,26.401,2.5,2.6,2.7,3.1,3.4,3.6,3.9,4.1,4.4,4.3,4.3,4.5,24.1,24.1,23.6,23.5,24.1,88,86,86,95
25.6,600.12,-1.885031,-1.690225,119.879959,120.842529,26.401,2.4,2.4,3.5,3.3,3.4,3.6,4.4,4.2,4.3,4.6,4.4,4.5,24.1,24.1,23.6,23.5,24.1,88,86,86,95
24.9,600.12,-1.885031,-1.690225,119.879959,120.842529,26.401,2.7,2.6,3.5,3.2,3.3,3.6,4.4,4.4,4.4,4.6,4.5,4.5,24.1,24.1,23.6,23.5,24.1,88,86,85,95
24.6,600.12,-1.885031,-1.690225,119.879959,120.842529,26.401,2.3,2.7,3.5,3.5,3.4,3.6,4.5,4.5,4.4,4.7,4.6,4.5,24.1,24.1,23.6,23.6,24.1,88,86,86,95
25.6,599.71,0.097403,-1.35218,-55.021137,-60.384022,20.946,2.5,2.7,3.4,3.5,3.4,3.6,4,4.4,4.4,4.5,4.5,4.5,24.1,24.1,23.6,23.6,24.1,88,86,86,96
24.8,599.71,0.097403,-1.35218,-55.021137,-60.384022,20.946,2.7,2.7,2.9,3.2,3.3,3.6,4.3,4.3,4.4,4.7,4.5,4.5,24.1,24.1,23.6,23.5,24.1,88,86,86,96
24.6,599.75,2.217347,-1.420935,-54.1617,-58.676608,20.821,2.4,2.5,2.7,3,3.3,3.6,4.1,4.2,4.3,4.3,4.4,4.5,24.1,24.1,23.6,23.5,24.1,88,86,86,96
25.6,599.75,2.217347,-1.420935,-54.1617,-58.676608,20.821,2,2.3,2.8,3,3.2,3.6,3.9,4.2,4.3,4.6,4.5,4.5,24.1,24.1,23.6,23.4,24.1,88,86,86,96
